kpi_id,kpi_name,formula_expression,input_variables,upstream_dependencies,calculation_sequence,business_description,unit
"EXE001","Revenue","Revenue = Average Selling Price per kg × Total Volume Sold","ASP_KG; Total Volume Sold","REV001; REV009; PRD001; PRD002; PRD003","1. Start from volume by product. 2. Convert to revenue using price per kg. 3. Aggregate by channel and business mix.","Revenue is driven by selling price and total volume sold across products and channels.","₹"
"EXE002","Gross Contribution","Gross Contribution = Revenue − Variable Cost of Goods Sold","EXE001; Variable COGS","EXE001; BRD004; YLD001; YLD002; PRD001; PRD002; PRD003","1. Begin with revenue. 2. Estimate variable cost from birds, yield and product mix. 3. Subtract from revenue.","Gross contribution reflects the margin left after direct production cost.","₹"
"EXE003","EBITDA","EBITDA = Gross Contribution − Total OPEX − Other Operating Adjustments","EXE002; EXE013; Other Operating Adjustments","EXE002; EXE013; OPX001; OPX002; OPX003","1. Start from gross contribution. 2. Subtract operating expense lines. 3. Adjust for non-cash and non-core items if needed.","EBITDA shows operating profitability before financing and tax.","₹"
"EXE004","PAT","PAT = EBITDA − Interest − Tax","EXE003; Interest; Tax","EXE003; INTEREST; CAP005","1. Start from EBITDA. 2. Subtract financing cost. 3. Apply tax to derive after-tax profit.","PAT represents bottom-line profit after operating and financing costs.","₹"
"EXE007","Working Capital Requirement","Working Capital Requirement = Inventory + Receivables − Payables","EXE007; Inventory; Receivables; Payables","INV001; INV002; INV003; INV004; INV005; WC001; WC002","1. Estimate inventory locked in operations. 2. Add receivables from sales. 3. Subtract supplier payables.","Working capital requirement captures the cash tied up in the business cycle.","₹"
"EXE009","Birds / Day","Birds / Day = Required Daily Volume ÷ Average Bird Weight ÷ Yield Efficiency","Required Daily Volume; Average Bird Weight; Yield Efficiency","PRD001; PRD002; PRD003; BRD003; YLD001; YLD002","1. Translate demand into required daily processed volume. 2. Adjust for bird weight. 3. Convert to birds per day using yield assumptions.","Bird requirement reflects the supply of birds needed to meet planned output.","Birds/day"
"EXE010","Plant Capacity MT / Month","Plant Capacity MT / Month = Planned Throughput Capacity per Month","Plant Throughput Capacity","EXE001; REV001; CAPACITY_MT","1. Use the installed plant capacity assumption. 2. Check capacity against demand. 3. Flag expansion if utilization crosses threshold.","Plant capacity indicates the monthly production volume the plant can handle.","MT/month"
"EXE011","Total Employees","Total Employees = Base Workforce + Required Growth − Automation Adjustment","Base Workforce; Growth Requirement; Automation Gain","WRK001; WRK003; WRK004; AUTO_GAIN","1. Start from baseline workforce. 2. Add people needed for growth. 3. Reduce for automation productivity gains.","Total employees reflect the workforce needed to run the plan.","HC"
"EXE012","Total CAPEX","Total CAPEX = Base CAPEX + Expansion CAPEX Triggered","Base CAPEX; Expansion CAPEX Triggered","CAP001; CAP002; EXP_THRESHOLD; CAPACITY_MT","1. Begin with base capex. 2. Add expansion capex if capacity threshold is breached. 3. Aggregate total investment.","Total capex reflects the investment needed to support growth and capacity.","₹"
"EXE013","Total OPEX","Total OPEX = Plant OPEX + Commercial OPEX + Admin OPEX","Plant OPEX; Commercial OPEX; Admin OPEX","OPX001; OPX002; OPX003; ING_INFL; PACK_INFL; UTIL_INFL; SAL_INFL; MKT_PCT; TRADE_PCT","1. Sum plant, commercial and admin cost lines. 2. Apply inflation and spending assumptions. 3. Aggregate total operating expense.","Total opex captures the full cost of running the business.","₹"
